10 & Túarastla Rosa Failgi &  1 \\
10 & Túathal Techtmar &  1 \\
10 & trí dee donand &  1 \\
10 & Óenach Talten &  5 \\
11 & Birth of Brendan &  6 \\
11 & Epscop Ibar &  6 \\
12 & Fland Fina cecinit &  3 \\
13 & Feidlimid athair Echach &  1 \\
13 & Gormlaith ingen Flainn cecinit &  1 \\
13 & Nuallguba Emire in so &  2 \\
14 & Fechtas do Mling is Tóidin co n-acca Mael Doborchon &  5 \\
15 & Ri irissech ro boí do Grecaib &  5 \\
16 & Aided Meidbe &  2 \\
17 & Column Cille cecinit &  6 \\
17 & Gilla Coemain cecinit Attá sund forba fessa &  3 \\
17 & Sarbili anim Mo Ninni &  6 \\
17 & Étsecht Luin Garad &  6 \\
18 & Connachta cid dia tá in t-ainm &  1 \\
18 & Dallan mac Móre ollam Cerbaill  &  1 \\
18 & Guidim Comdid cumachtach &  1 \\
19 & A bairgen ataí i ngábud &  1 \\
20 & Aided Choncobuir &  2 \\
20 & Aided Cuanach meic Ailchini &  5 \\
20 & Athirne Áilgessach ⁊ Mider Brí Léith &  2 \\
20 & Cummíne Fota mac Fiachnai di Eoganacht Chassil &  5 \\
20 & De dúlib feda na fored &  1 \\
20 & Dindgnai Temrach in so sís &  1 \\
20 & Fechtas aile do MLing is Toídin &  5 \\
20 & Incipit Talland Etair &  2 \\
20 & Orthanach &  1 \\
20 & Ossin cecinit &  3 \\
20 & Scéla Chonchobuir &  2 \\
20 & Slan seiss a Brigit co mbuaid &  1 \\
20 & Tech Midchúarda &  1 \\
20 & Túathal Techtmar ba rí Temrach &  1 \\
21 & Ailill Ulom cecinit &  3 \\
21 & Ailill Ólomm A Maccáin ná cí &  3 \\
21 & Brandub mac Echach &  1 \\
21 & CLanna Ailella Uluim uill &  3 \\
21 & Dubthach hua Lugair &  1 \\
21 & Dían &  1 \\
21 & Fothart for trebaib Con Corbb &  1 \\
21 & Mo Lling Luachra dalta do Maehóc Ferna &  5 \\
21 & Mo Lling cecinit &  3 \\
21 & Trefocul &  1 \\
22 & Scrín Adomnáin &  6 \\
23 & A Chóicid chóem Chairpri chrúaid &  1 \\
23 & Augaine Már mac ríg Hérend &  1 \\
23 & Ciaran cecinit &  6 \\
24 & Audacht Moraind &  6 \\
24 & Mugdorn ingen Moga Duib Conan gilla Find &  4 \\
24 & Turim Tigi Temrach &  1 \\
25 & Aní doronsat do chalmu &  4 \\
25 & Ascnam ni seol sadal &  4 \\
25 & Dallán mac Móre &  1 \\
25 & esnada tige buchet &  5 \\
25 & fingal ronain &  5 \\
